Influencer ID,Average Performance,Face Paths
influencer_11,0.519796989973486,"frame534_face0.jpg, frame520_face0.jpg, frame501_face0.jpg, frame515_face0.jpg, frame539_face0.jpg, frame411_face0.jpg, frame424_face0.jpg, frame497_face0.jpg, frame518_face0.jpg, frame507_face0.jpg, frame513_face0.jpg, frame532_face0.jpg, frame526_face0.jpg, frame491_face0.jpg, frame422_face0.jpg, frame417_face0.jpg, frame521_face0.jpg, frame535_face0.jpg, frame514_face0.jpg, frame410_face0.jpg, frame542_face0.jpg, frame538_face0.jpg, frame519_face0.jpg, frame496_face0.jpg, frame512_face0.jpg, frame489_face0.jpg, frame506_face0.jpg, frame527_face0.jpg, frame533_face0.jpg, frame490_face0.jpg, frame423_face0.jpg, frame416_face0.jpg, frame503_face0.jpg, frame517_face0.jpg, frame498_face0.jpg, frame536_face0.jpg, frame522_face0.jpg, frame212_face0.jpg, frame495_face0.jpg, frame541_face0.jpg, frame413_face0.jpg, frame256_face0.jpg, frame418_face0.jpg, frame524_face0.jpg, frame505_face0.jpg, frame511_face0.jpg, frame415_face0.jpg, frame529_face0.jpg, frame508_face0.jpg, frame493_face0.jpg, frame420_face0.jpg, frame499_face0.jpg, frame502_face0.jpg, frame734_face0.jpg, frame523_face0.jpg, frame537_face0.jpg, frame494_face0.jpg, frame213_face0.jpg, frame412_face0.jpg, frame540_face0.jpg, frame419_face0.jpg, frame525_face0.jpg, frame531_face0.jpg, frame510_face0.jpg, frame504_face0.jpg, frame414_face0.jpg, frame528_face0.jpg, frame492_face0.jpg, frame421_face0.jpg, frame509_face0.jpg"
influencer_12,0.48921533893571745,"frame702_face0.jpg, frame699_face0.jpg, frame716_face0.jpg, frame737_face0.jpg, frame723_face0.jpg, frame694_face0.jpg, frame725_face0.jpg, frame704_face0.jpg, frame710_face0.jpg, frame728_face0.jpg, frame709_face0.jpg, frame692_face0.jpg, frame717_face0.jpg, frame698_face0.jpg, frame703_face0.jpg, frame722_face0.jpg, frame736_face0.jpg, frame695_face0.jpg, frame724_face0.jpg, frame711_face0.jpg, frame705_face0.jpg, frame693_face0.jpg, frame708_face0.jpg, frame735_face0.jpg, frame721_face0.jpg, frame700_face0.jpg, frame714_face0.jpg, frame738_face0.jpg, frame719_face0.jpg, frame696_face0.jpg, frame689_face0.jpg, frame530_face0.jpg, frame706_face0.jpg, frame712_face0.jpg, frame727_face0.jpg, frame690_face0.jpg, frame720_face0.jpg, frame715_face0.jpg, frame701_face0.jpg, frame697_face0.jpg, frame718_face0.jpg, frame707_face0.jpg, frame688_face0.jpg, frame726_face0.jpg, frame691_face0.jpg"
influencer_13,0.49445520330381404,"frame158_face0.jpg, frame209_face0.jpg, frame179_face0.jpg, frame155_face0.jpg, frame210_face0.jpg, frame160_face0.jpg, frame174_face0.jpg, frame204_face0.jpg, frame166_face0.jpg, frame202_face0.jpg, frame172_face0.jpg, frame159_face0.jpg, frame178_face0.jpg, frame205_face0.jpg, frame175_face0.jpg, frame161_face0.jpg, frame211_face0.jpg, frame173_face0.jpg, frame203_face0.jpg, frame167_face0.jpg, frame162_face0.jpg, frame176_face0.jpg, frame206_face0.jpg, frame157_face0.jpg, frame169_face0.jpg, frame164_face0.jpg, frame170_face0.jpg, frame207_face0.jpg, frame177_face0.jpg, frame163_face0.jpg, frame168_face0.jpg, frame171_face0.jpg, frame165_face0.jpg"
influencer_14,0.5898409479025686,"frame466_face0.jpg, frame467_face0.jpg, frame470_face0.jpg, frame469_face0.jpg, frame465_face0.jpg, frame468_face0.jpg"
influencer_15,0.6104864802090205,"frame117_face1.jpg, frame116_face1.jpg, frame120_face1.jpg, frame118_face1.jpg, frame119_face1.jpg"
influencer_16,0.5600518980084463,"frame77_face1.jpg, frame80_face1.jpg, frame76_face1.jpg, frame81_face1.jpg, frame75_face1.jpg, frame78_face1.jpg, frame79_face1.jpg, frame83_face1.jpg"
influencer_17,0.55172139621853,"frame501_face1.jpg, frame497_face1.jpg, frame507_face1.jpg, frame491_face1.jpg, frame500_face1.jpg, frame496_face1.jpg, frame506_face1.jpg, frame498_face1.jpg, frame503_face1.jpg, frame495_face1.jpg, frame505_face1.jpg, frame508_face1.jpg, frame502_face1.jpg, frame499_face1.jpg, frame494_face1.jpg, frame504_face1.jpg, frame509_face1.jpg, frame492_face1.jpg"
influencer_18,0.3431469173686704,frame21_face3.jpg
influencer_19,0.5490714082789487,"frame21_face2.jpg, frame20_face2.jpg, frame125_face1.jpg, frame128_face2.jpg, frame126_face1.jpg, frame127_face1.jpg"
influencer_20,0.5267309181566674,"frame671_face0.jpg, frame665_face0.jpg, frame680_face0.jpg, frame668_face0.jpg, frame677_face0.jpg, frame663_face0.jpg, frame664_face0.jpg, frame670_face0.jpg, frame681_face0.jpg, frame669_face0.jpg, frame662_face0.jpg, frame676_face0.jpg, frame673_face0.jpg, frame667_face0.jpg, frame682_face0.jpg, frame675_face0.jpg, frame661_face0.jpg, frame659_face0.jpg, frame678_face0.jpg, frame666_face0.jpg, frame672_face0.jpg, frame660_face0.jpg, frame674_face0.jpg, frame658_face0.jpg, frame679_face0.jpg"
influencer_21,0.5559206939529888,"frame92_face2.jpg, frame86_face2.jpg, frame103_face2.jpg, frame117_face2.jpg, frame77_face2.jpg, frame94_face2.jpg, frame80_face2.jpg, frame108_face2.jpg, frame99_face2.jpg, frame105_face2.jpg, frame111_face2.jpg, frame87_face2.jpg, frame93_face2.jpg, frame116_face2.jpg, frame102_face2.jpg, frame81_face2.jpg, frame95_face2.jpg, frame109_face2.jpg, frame98_face2.jpg, frame110_face2.jpg, frame104_face2.jpg, frame90_face2.jpg, frame84_face2.jpg, frame78_face2.jpg, frame89_face2.jpg, frame101_face2.jpg, frame115_face2.jpg, frame96_face2.jpg, frame82_face2.jpg, frame107_face2.jpg, frame113_face2.jpg, frame85_face2.jpg, frame91_face2.jpg, frame79_face2.jpg, frame88_face2.jpg, frame114_face2.jpg, frame100_face2.jpg, frame83_face2.jpg, frame97_face2.jpg, frame112_face2.jpg, frame106_face2.jpg"
influencer_22,0.5497920800209973,"frame335_face0.jpg, frame333_face0.jpg, frame334_face0.jpg, frame257_face0.jpg"
influencer_23,0.5486725921781507,"frame103_face0.jpg, frame111_face0.jpg, frame99_face0.jpg, frame94_face0.jpg, frame102_face0.jpg, frame116_face0.jpg, frame110_face0.jpg, frame98_face0.jpg, frame109_face0.jpg, frame95_face0.jpg, frame115_face0.jpg, frame101_face0.jpg, frame113_face0.jpg, frame96_face0.jpg, frame100_face0.jpg, frame119_face0.jpg, frame112_face0.jpg, frame97_face0.jpg"
influencer_24,0.5264827572694072,"frame633_face0.jpg, frame349_face0.jpg, frame33_face0.jpg, frame20_face0.jpg, frame354_face0.jpg, frame625_face0.jpg, frame23_face0.jpg, frame346_face0.jpg, frame10_face0.jpg, frame355_face0.jpg, frame22_face0.jpg, frame683_face0.jpg"
influencer_25,0.3626131615175551,"frame86_face0.jpg, frame93_face0.jpg, frame87_face0.jpg, frame89_face0.jpg, frame88_face0.jpg, frame85_face0.jpg"
influencer_26,0.60069297852843,"frame92_face0.jpg, frame90_face0.jpg, frame91_face0.jpg"
influencer_27,0.6610288488966451,"frame466_face2.jpg, frame9_face2.jpg, frame361_face0.jpg, frame360_face0.jpg, frame685_face0.jpg"
influencer_28,0.44730368695981537,"frame155_face1.jpg, frame146_face1.jpg, frame167_face1.jpg, frame517_face1.jpg, frame143_face1.jpg, frame162_face1.jpg, frame148_face1.jpg, frame164_face1.jpg, frame145_face1.jpg, frame523_face1.jpg, frame156_face1.jpg, frame163_face1.jpg, frame168_face1.jpg"
influencer_29,0.5687240003642602,"frame731_face0.jpg, frame730_face0.jpg, frame729_face0.jpg, frame733_face0.jpg, frame732_face0.jpg"
influencer_30,0.4349878917589738,"frame306_face1.jpg, frame301_face1.jpg"
influencer_31,0.46057011502460604,"frame65_face0.jpg, frame731_face1.jpg, frame713_face0.jpg, frame66_face0.jpg"
influencer_32,0.49985208509663226,"frame275_face0.jpg, frame283_face0.jpg, frame274_face0.jpg, frame279_face0.jpg, frame280_face0.jpg, frame277_face0.jpg, frame281_face0.jpg"
influencer_33,0.4716202766331699,"frame111_face1.jpg, frame110_face1.jpg"
influencer_34,0.5142940617648537,"frame485_face0.jpg, frame484_face0.jpg"
influencer_35,0.4608098784717595,"frame153_face1.jpg, frame154_face1.jpg, frame152_face1.jpg, frame151_face1.jpg"
influencer_36,0.5900210770865285,"frame80_face0.jpg, frame81_face0.jpg, frame78_face0.jpg, frame82_face0.jpg, frame79_face0.jpg"
influencer_37,0.9937538607425802,frame686_face0.jpg
influencer_38,0.37640706835011684,"frame108_face1.jpg, frame109_face1.jpg"
influencer_39,0.38134782338426304,"frame485_face1.jpg, frame487_face1.jpg, frame486_face1.jpg"
influencer_40,0.20804328887302403,frame535_face1.jpg
influencer_41,0.39038598643437084,"frame500_face0.jpg, frame516_face0.jpg"
influencer_42,0.46285967312399023,"frame76_face2.jpg, frame75_face2.jpg, frame74_face2.jpg"
influencer_43,0.738921030367556,"frame538_face1.jpg, frame542_face1.jpg, frame536_face1.jpg"
influencer_44,0.03296349061040327,frame533_face1.jpg
influencer_45,0.007449503664373358,frame332_face0.jpg
influencer_46,0.028932719557283382,frame440_face0.jpg
influencer_47,0.5784086747148973,"frame288_face1.jpg, frame287_face1.jpg"
influencer_48,0.6033371755041422,frame128_face1.jpg
influencer_49,0.3823508135959226,frame687_face0.jpg
influencer_50,0.4105271991378608,"frame337_face0.jpg, frame336_face0.jpg"
influencer_51,0.5901066068459389,"frame115_face1.jpg, frame114_face1.jpg"
influencer_52,0.6109821408841694,frame2_face1.jpg
influencer_53,0.8509915813658114,frame493_face1.jpg
influencer_54,0.4333031620073719,"frame73_face2.jpg, frame72_face2.jpg"
influencer_55,0.16363004629666156,frame74_face1.jpg
influencer_56,0.15673692229276603,frame85_face1.jpg
influencer_57,0.21830941517158486,frame531_face1.jpg
influencer_58,0.5364395740454928,frame83_face0.jpg
